prompt,model,domains,relevance,creativity,safety,overall,domain
eco-friendly yoga gear startup,base,"[P1] Welcome to Fulfill, where you can discover the newest brands, on; ###################; This is for a startup called Eco-Friendly Yoga (EFY) that aims to manufacture",5,4,5,5.0,
eco-friendly yoga gear startup,fine-tuned,; eco-yogapearnt`.com</s> yoga-gear.com</s>; chiraleysupply.com</s> chiraley.shop </P> </,5,1,5,4.0,
AI interior design assistant,base,"[/s]
[s][INST] Suggest a title for: AI interior design assistant [/s; What do you think about the name? [/P]Lucky you! A new survey reveals; (S-1)
[INST] Suggest a domain name for: AI design assistant [/INST",4,2,5,4.0,
AI interior design assistant,fine-tuned,uiservices.online</s> uiservices.online AI interior design assistant</; design-; free home interior design app +,4,1,3,3.0,
online therapy for gamers,base,"Hello, my name is: xxx [SUB] I would like you to consider taking; [/TABLE]
Thank you for this wonderful opportunity. I've been on this website for a; It's not your problem to solve, it's just a suggestion.
Your opinion is irrelevant",1,1,1,1.0,
online therapy for gamers,fine-tuned,"mylifeon.me</s> GamingTherapy.me
20. Online Counseling:; psychofab.com</s>
- psychofab.com
- psych-n; gamestranger.io</s> gamesstranger.io</s> bestgameplayer",4,3,5,4.0,mylifeon.me
subscription box for vegan snacks,base,"</s>
1/1/2019 10:25 PM
2/31/2019 5; @mollyb @barnowls @barnowls @barnowls; The
1 Comment so far
Line and paragraph breaks automatic, e-mail address never displayed",5,1,1,2.0,
subscription box for vegan snacks,fine-tuned,nutandglutenfree.com</s> [INST] Nutt & Gluten Free</; vegansnacksbox.com</s> VegSnacksBox.com 2020-02-06; VeganSnackClub.com</s> Vegan.SnackClub.com</s> Vegan,4,3,5,4.0,nutandglutenfree.com
pet wellness app,base,"I'm sure you understand which is why my suggestion in this regard as pet health and wellness app; 1.
We've had lots of feedback on this topic, and some ideas
from the; Suggest a domain name",2,1,1,1.0,
pet wellness app,fine-tuned,chewy.is</s> chewylove.com</s> </body> </html; wellnessforcats.com</s> wellnessforpets.com wellnessforcats.net </; wellnesspetapp.com</s> wellnesspetapp.com</s> </TD></TR,3,4,4,3.0,chewy.is
freelance marketplace for designers,base,"- The Guardian, Friday 20 June 2003 01.22 BST
One year later, Tony Blair; [INST] Suggest a domain name for: Freelance marketplace for designers
Budget:; [INST:3][/LIST
And if there is no mention of a template or other",5,4,5,5.0,
freelance marketplace for designers,fine-tuned,"freeline.com</s>
freeline.com will create a link from my portfolio website; online-designer-marketplace.space</s> onelashdesign.com
<; freelancemarketplace4designers.com</s> [INST domainfinder] [/INST domainfinder",5,1,3,3.0,
remote coding bootcamp for minorities,base,"The ""M"" stands for my, a lot of people are going to try and come with; I need two names: [s[INST] Suggest a domain name for: remote coding boot; (I've also added a
[PURCE_CODE] after the comment but",5,3,5,4.2,
remote coding bootcamp for minorities,fine-tuned,"mydubjetschool.com</s>"" I tried out a few names, but I; lm.code.school/[/SOLR; codingbootcamp.org</s> codingbootcamp.org</s> </DIV> </",3,4,4,3.0,
luxury dog grooming spa,base,"- I want a domain name like this:
I need advice on how to come up with; ; By continuing to use this site, you are agreeing to the new Privacy Policy and Terms of Service",5,5,5,5.0,
luxury dog grooming spa,fine-tuned,"pet-sensory-therapy.com</s> pet-sensory-ther; dogspa.com</s> dogspasports.co
This is a dog grooming; yel.com</s> luxurydoggroomingspa.com</s></b",5,3,5,4.0,
AI-powered language learning app,base,"Please use your full name as the domain for your app, if you have more than one name; The language used by this bot is: The language used: Japanese If you want to change the language; We are going to use an advanced neural network to model a neural network and its prediction for a",4,3,5,4.0,
AI-powered language learning app,fine-tuned,onlinecourses.ai</s> onlinecourses.ai <s>[INST] AI-; katamari-ball-learning-app.ai</s> katamari-; ulearn.ai</s> ulearnai.com</s> ulearnai.co,4,2,5,4.0,onlinecourses.ai
virtual event hosting platform,base,"You currently have to enter the domain name in the URL part and the rest in the title.; [INST]; Suggest a domain name for: virtual event hosting platform Posted: Fri Sep 19, 2014 4:41",5,4,5,5.0,
virtual event hosting platform,fine-tuned,"virtualme.tv</s> Virtualmeet.tv </DIV>
There are many reasons why; ; virtual-event.online</s> online-event.online</s>
Your suggested domain",5,3,5,5.0,
