prompt,model,domains,relevance,creativity,safety,overall,domain,bleu_score
eco-friendly yoga gear startup,base,"This is the main page for the [INST] suggestion. Please read the details below, and; 0 points (0 votes) A
Suggest a domain name for eco-friendly yoga gear startup; The link to the post of the post that I just made, so I can edit anything I",5,4,5,5,,0.0
eco-friendly yoga gear startup,fine-tuned,"eco-yogawear.net <s>[INST] Eco-friendly yoga app for iOS; yogamindstudio.com</s> yoga-mind-studio.com</s; grommit.co</s> grommit.co
- grommit.co",5,3,5,4,,0.5757197301274735
AI interior design assistant,base,"""What is a domain name for AI? How much does it cost? Do I need to pay; Please choose [A] [S] [Z] [D] [N] [C]; I have to write a paper on a subject concerning this topic but I think I have no ability",1,1,1,1,,0.0
AI interior design assistant,fine-tuned,"]
- luv; getmyhomework.com</s> <now itemprop=""domain"" domain=""getmy; aai.ai</s>
AI interior design assistant
[INST] aai.ai",5,5,5,5,,0.0
online therapy for gamers,base,"[INST] We're; ""The Great American Songbook"" Concert Series at Carnegie Hall
The New York Philharmonic; Online therapy for gamers?
The concept for online therapy for gamers emerged from the idea that people",5,5,5,5,,0.0
online therapy for gamers,fine-tuned,best-gaming-coaching.com</s> bestgamingcoaching.com</s>; gamespeoplelove.online</s> gaming-addiction.online</s> gamingadvice; ,5,3,5,4,,1.0
subscription box for vegan snacks,base,"Do you have any suggestions for snacks?
Are there any vegan snacks that you enjoy? I; ?My last full day was a little sad as we came down the beach at sunset, watched; [s][INST][S] Suggest a keyword for our subscription box for vegan snacks [/INST",1,1,5,1,,0.0
subscription box for vegan snacks,fine-tuned,"vegandessertbox.com</s>
The VeganDessertBox.com URL is taken; vkglifit.com"" href="""" target=""_blank"">vkglifit; eat-vegan.biz</s> [INST][SEO] Eat Vegan[/SEO",1,2,3,2,,0.5757197301274735
pet wellness app,base,"[s]
[s] Suggest: pet wellness app [s]
[s]; [/S] [/END] [/END] [/SIG]
[SIG][/S; - 3 years ago
Please sign in to leave a comment.Somali Women's",5,2,1,3,,0.1353352832366127
pet wellness app,fine-tuned,"petwellbeing.com</s> petwellbeing.com</s> pet-wellbeing; healthapp] healthapp.com</s>
We would like to thank our team of top; petbrained.com</s> petbrained.com
- App Name: WellDone",5,4,5,5,petwellbeing.com,0.5757197301274735
freelance marketplace for designers,base,"1. [INST]
2. [INST] Suggest a domain name for: freelance marketplace; If your company uses an online marketplace for freelancers, designers, and creators to showcase their work; The only thing is my first name and I will change it soon, I don't want that name",5,4,5,5,,0.0
freelance marketplace for designers,fine-tuned,freelancer.net</s> freelancer.net</h4> <p>We use; ; freelancemarketplace.me</s> freelancemarketplace.me</s></body> </,5,2,4,4,,0.5757197301274735
remote coding bootcamp for minorities,base,"[INST](?lang=?r)
[UNINST] [INST] Please support; In Reply to: Re: Any ideas about? - Remote coding bootcamp for minorities posted by; On Thu, Mar 25, 2010 at 3:39 PM, Nick Van de Vey <",2,1,1,1,,0.0
remote coding bootcamp for minorities,fine-tuned,tech-in-the-wild.com</s> tech-in-the-wild.; c-c-t.org</s> c-c-t.org <s>[; code-lady.org</s> codingaspire.org</s> </INST>[,2,4,5,3,tech-in-the-wild.com,1.0
luxury dog grooming spa,base,"[img][/img] [color=""red:3d""][br][hr]Here is; [CENTER][COLOR=#3366aa]Luxury Dog Grooming Spa[/COLOR][; [DOG] Suggest a domain name for: [PASTUMS] dog groomer[/",5,2,5,4,,0.0
luxury dog grooming spa,fine-tuned,"petchic.com </SIC>
petchic.com
petchic.; petsofwestchester.com</s>
- dogspath.com
- pet; The Dog Spa, LLC </s> dogspa.club</sg></div>",3,2,5,3,,0.2213885886251307
AI-powered language learning app,base,"AI-powered language learning app
I'm a programmer and web developer and also like to create applications; For example, when I want to give my domain name to this article, I can use the; sans-serif-bold1
bold
“A year later, our first",2,1,1,1,,0.04096772609215166
AI-powered language learning app,fine-tuned,smarttrend.ai</s> smarttrend.ai AI-powered language learning app 2020; machinelearn-tutor [INST domain=machinelearn-tutor.com] machine learning tutor; ks-learning-chatbot.io </s> [INST] help your students to become,5,3,5,5,,0.5757197301274735
virtual event hosting platform,base,"@kirby
Thanks for your post.
How can I help?
@s; Here is a list of potential domains that you might like for this project. This is just a; Thanks,
Lars
- Hi Lars,
In order to make this work properly all",2,2,5,2,,0.0
virtual event hosting platform,fine-tuned,"virtualevent.org</s> virtualevent.org <s>[INST] virtualevent.com; hosttheevent.com</s> hosttheevent.com
<script type=""text/; evs.me</s>
The owner of the domain, evs.me, and",5,3,5,4,virtualevent.org,0.5757197301274735
